date;sku;units_sold;stock;is_open;is_holiday;is_prom;units_sold_last_year;units_sold_last_quarter;units_sold_last_month;units_sold_last_week;units_sold_last_52_weeks;units_sold_last_12_weeks;units_sold_last_8_weeks;units_sold_last_4_weeks;units_sold_last_day;units_sold_original
2019-02-11;28;20.0;0.0;1;0;0;;;4.0;28.0;;;;0.0;0.0;20
2019-02-11;29;16.0;0.0;1;0;1;;;16.0;20.0;;;;0.0;0.0;16
2019-02-11;30;4.0;0.0;1;0;0;;;4.0;8.0;;;;20.0;0.0;4
2019-02-11;31;8.0;0.0;1;0;1;;;4.0;8.0;;;;12.0;0.0;8
2019-02-11;32;8.0;0.0;1;0;0;;;4.0;4.0;;;;4.0;0.0;8
2019-02-11;33;0.0;0.0;1;0;1;;;12.0;16.0;;;;4.0;0.0;0
2019-02-11;34;8.0;0.0;1;0;1;;;4.0;12.0;;;;16.0;0.0;8
2019-02-11;35;4.0;0.0;1;0;1;;;24.0;32.0;;;;12.0;8.0;4
2019-02-11;36;12.0;0.0;1;0;0;;;16.0;16.0;;;;12.0;0.0;12
2019-02-11;37;4.0;0.0;1;0;1;;;12.0;4.0;;;;12.0;4.0;4
2019-02-11;38;12.0;0.0;1;0;0;;;4.0;20.0;;;;24.0;0.0;12
2019-02-11;39;8.0;0.0;1;0;0;;;4.0;0.0;;;;12.0;0.0;8
2019-02-11;40;8.0;0.0;1;0;1;;;8.0;0.0;;;;0.0;0.0;8
2019-02-11;41;0.0;0.0;1;0;1;;;24.0;4.0;;;;0.0;0.0;0
2019-02-11;42;24.0;0.0;1;0;0;;;16.0;24.0;;;;20.0;0.0;24
2019-02-11;43;0.0;0.0;1;0;1;;;20.0;8.0;;;;4.0;0.0;0
2019-02-11;44;24.0;0.0;1;0;0;;;4.0;16.0;;;;4.0;0.0;24
2019-02-11;45;8.0;0.0;1;0;1;;;28.0;20.0;;;;24.0;0.0;8
2019-02-11;46;4.0;0.0;1;0;0;;;4.0;4.0;;;;0.0;0.0;4
2019-02-11;47;0.0;0.0;1;0;0;;;0.0;0.0;;;;8.0;0.0;0
2019-02-11;48;8.0;0.0;1;0;0;;;0.0;8.0;;;;20.0;0.0;8
2019-02-11;49;16.0;0.0;1;0;0;;;12.0;8.0;;;;20.0;0.0;16
2019-02-11;50;12.0;0.0;1;0;1;;;12.0;4.0;;;;4.0;0.0;12
2019-02-12;1;36.0;0.0;1;0;0;;;8.0;16.0;;;;8.0;20.0;36
2019-02-12;2;4.0;0.0;1;0;0;;;12.0;0.0;;;;0.0;0.0;4
2019-02-12;3;0.0;0.0;1;0;0;;;8.0;8.0;;;;0.0;4.0;0
2019-02-12;4;4.0;0.0;1;0;0;;;16.0;0.0;;;;16.0;28.0;4
2019-02-12;5;24.0;0.0;1;0;0;;;40.0;12.0;;;;0.0;4.0;24
2019-02-12;6;4.0;0.0;1;0;0;;;12.0;4.0;;;;4.0;8.0;4
2019-02-12;7;8.0;0.0;1;0;0;;;0.0;4.0;;;;12.0;0.0;8
2019-02-12;8;40.0;0.0;1;0;0;;;24.0;16.0;;;;24.0;44.0;40
2019-02-12;9;16.0;0.0;1;0;1;;;8.0;16.0;;;;24.0;16.0;16
2019-02-12;10;8.0;0.0;1;0;1;;;8.0;20.0;;;;20.0;8.0;8
2019-02-12;11;12.0;0.0;1;0;0;;;0.0;28.0;;;;12.0;12.0;12
2019-02-12;12;8.0;0.0;1;0;1;;;8.0;16.0;;;;16.0;16.0;8
2019-02-12;13;8.0;0.0;1;0;0;;;28.0;4.0;;;;4.0;4.0;8
2019-02-12;14;16.0;0.0;1;0;0;;;28.0;28.0;;;;24.0;16.0;16
2019-02-12;15;8.0;0.0;1;0;0;;;0.0;8.0;;;;0.0;0.0;8
2019-02-12;16;8.0;0.0;1;0;1;;;16.0;36.0;;;;16.0;12.0;8
2019-02-12;17;12.0;0.0;1;0;0;;;8.0;4.0;;;;12.0;24.0;12
2019-02-12;18;8.0;0.0;1;0;0;;;24.0;36.0;;;;16.0;4.0;8
2019-02-12;19;12.0;0.0;1;0;1;;;16.0;4.0;;;;4.0;12.0;12
2019-02-12;20;8.0;0.0;1;0;1;;;0.0;12.0;;;;0.0;28.0;8
2019-02-12;21;20.0;0.0;1;0;1;;;36.0;16.0;;;;28.0;24.0;20
2019-02-12;22;16.0;0.0;1;0;1;;;44.0;8.0;;;;20.0;20.0;16
2019-02-12;23;4.0;0.0;1;0;1;;;4.0;32.0;;;;24.0;12.0;4
2019-02-12;24;4.0;0.0;1;0;0;;;4.0;8.0;;;;0.0;0.0;4
2019-02-12;25;8.0;0.0;1;0;1;;;16.0;8.0;;;;12.0;0.0;8
2019-02-12;26;0.0;0.0;1;0;0;;;0.0;4.0;;;;4.0;4.0;0
2019-02-12;27;0.0;0.0;1;0;0;;;4.0;8.0;;;;8.0;12.0;0
2019-02-12;28;8.0;0.0;1;0;0;;;8.0;16.0;;;;0.0;20.0;8
2019-02-12;29;0.0;0.0;1;0;1;;;8.0;20.0;;;;20.0;16.0;0
2019-02-12;30;0.0;0.0;1;0;0;;;32.0;4.0;;;;12.0;4.0;0
2019-02-12;31;12.0;0.0;1;0;1;;;12.0;12.0;;;;12.0;8.0;12
2019-02-12;32;4.0;0.0;1;0;0;;;0.0;8.0;;;;0.0;8.0;4
2019-02-12;33;16.0;0.0;1;0;1;;;12.0;16.0;;;;8.0;0.0;16
2019-02-12;34;20.0;0.0;1;0;1;;;4.0;8.0;;;;4.0;8.0;20
2019-02-12;35;4.0;0.0;1;0;1;;;4.0;4.0;;;;12.0;4.0;4
2019-02-12;36;32.0;0.0;1;0;0;;;16.0;16.0;;;;8.0;12.0;32
2019-02-12;37;4.0;0.0;1;0;1;;;0.0;12.0;;;;8.0;4.0;4
2019-02-12;38;12.0;0.0;1;0;0;;;8.0;8.0;;;;4.0;12.0;12
2019-02-12;39;4.0;0.0;1;0;0;;;16.0;0.0;;;;0.0;8.0;4
2019-02-12;40;0.0;0.0;1;0;1;;;8.0;12.0;;;;8.0;8.0;0
2019-02-12;41;8.0;0.0;1;0;1;;;44.0;8.0;;;;0.0;0.0;8
2019-02-12;42;8.0;0.0;1;0;0;;;4.0;8.0;;;;8.0;24.0;8
2019-02-12;43;4.0;0.0;1;0;1;;;36.0;4.0;;;;0.0;0.0;4
2019-02-12;44;0.0;0.0;1;0;0;;;4.0;4.0;;;;8.0;24.0;0
2019-02-12;45;8.0;0.0;1;0;1;;;8.0;20.0;;;;4.0;8.0;8
2019-02-12;46;0.0;0.0;1;0;0;;;12.0;0.0;;;;0.0;4.0;0
2019-02-12;47;0.0;0.0;1;0;0;;;0.0;4.0;;;;0.0;0.0;0
2019-02-12;48;4.0;0.0;1;0;0;;;12.0;12.0;;;;4.0;8.0;4
2019-02-12;49;0.0;0.0;1;0;0;;;8.0;0.0;;;;4.0;16.0;0
2019-02-12;50;4.0;0.0;1;0;1;;;36.0;0.0;;;;4.0;12.0;4
2019-02-13;1;12.0;0.0;1;0;0;;;0.0;4.0;;;;20.0;36.0;12
2019-02-13;2;12.0;0.0;1;0;0;;;0.0;8.0;;;;4.0;4.0;12
2019-02-13;3;4.0;0.0;1;0;0;;;0.0;20.0;;;;0.0;0.0;4
2019-02-13;4;8.0;0.0;1;0;0;;;0.0;12.0;;;;0.0;4.0;8
2019-02-13;5;16.0;0.0;1;0;0;;;0.0;16.0;;;;0.0;24.0;16
2019-02-13;6;8.0;0.0;1;0;0;;;0.0;4.0;;;;0.0;4.0;8
2019-02-13;7;4.0;0.0;1;0;0;;;0.0;8.0;;;;0.0;8.0;4
2019-02-13;8;4.0;0.0;1;0;0;;;0.0;4.0;;;;28.0;40.0;4
2019-02-13;9;8.0;0.0;1;0;1;;;16.0;4.0;;;;40.0;16.0;8
2019-02-13;10;8.0;0.0;1;0;1;;;4.0;20.0;;;;4.0;8.0;8
2019-02-13;11;0.0;0.0;1;0;0;;;0.0;16.0;;;;8.0;12.0;0
2019-02-13;12;20.0;0.0;1;0;1;;;16.0;24.0;;;;8.0;8.0;20
2019-02-13;13;16.0;0.0;1;0;0;;;0.0;16.0;;;;8.0;8.0;16
2019-02-13;14;8.0;0.0;1;0;0;;;0.0;16.0;;;;16.0;16.0;8
2019-02-13;15;4.0;0.0;1;0;0;;;0.0;4.0;;;;8.0;8.0;4
2019-02-13;16;8.0;0.0;1;0;1;;;0.0;20.0;;;;24.0;8.0;8
2019-02-13;17;36.0;0.0;1;0;0;;;4.0;8.0;;;;4.0;12.0;36
2019-02-13;18;8.0;0.0;1;0;0;;;4.0;8.0;;;;16.0;8.0;8
2019-02-13;19;8.0;0.0;1;0;1;;;0.0;12.0;;;;4.0;12.0;8
2019-02-13;20;4.0;0.0;1;0;1;;;0.0;8.0;;;;12.0;8.0;4
2019-02-13;21;4.0;0.0;1;0;1;;;0.0;12.0;;;;20.0;20.0;4
2019-02-13;22;16.0;0.0;1;0;1;;;4.0;32.0;;;;16.0;16.0;16
2019-02-13;23;4.0;0.0;1;0;1;;;12.0;8.0;;;;32.0;4.0;4
2019-02-13;24;12.0;0.0;1;0;0;;;0.0;0.0;;;;0.0;4.0;12
2019-02-13;25;4.0;0.0;1;0;1;;;32.0;12.0;;;;24.0;8.0;4
2019-02-13;26;4.0;0.0;1;0;0;;;0.0;8.0;;;;4.0;0.0;4
2019-02-13;27;0.0;0.0;1;0;0;;;0.0;16.0;;;;8.0;0.0;0
2019-02-13;28;16.0;0.0;1;0;0;;;0.0;20.0;;;;0.0;8.0;16
2019-02-13;29;12.0;0.0;1;0;1;;;0.0;0.0;;;;4.0;0.0;12
2019-02-13;30;16.0;0.0;1;0;0;;;4.0;0.0;;;;4.0;0.0;16
2019-02-13;31;4.0;0.0;1;0;1;;;0.0;8.0;;;;4.0;12.0;4
2019-02-13;32;16.0;0.0;1;0;0;;;0.0;4.0;;;;4.0;4.0;16
2019-02-13;33;8.0;0.0;1;0;1;;;0.0;32.0;;;;12.0;16.0;8
2019-02-13;34;0.0;0.0;1;0;1;;;4.0;20.0;;;;4.0;20.0;0
2019-02-13;35;12.0;0.0;1;0;1;;;0.0;8.0;;;;16.0;4.0;12
2019-02-13;36;16.0;0.0;1;0;0;;;0.0;12.0;;;;4.0;32.0;16
2019-02-13;37;4.0;0.0;1;0;1;;;4.0;4.0;;;;16.0;4.0;4
2019-02-13;38;4.0;0.0;1;0;0;;;0.0;8.0;;;;4.0;12.0;4
2019-02-13;39;4.0;0.0;1;0;0;;;0.0;8.0;;;;0.0;4.0;4
2019-02-13;40;0.0;0.0;1;0;1;;;0.0;8.0;;;;0.0;0.0;0
2019-02-13;41;16.0;0.0;1;0;1;;;0.0;0.0;;;;28.0;8.0;16
2019-02-13;42;16.0;0.0;1;0;0;;;0.0;16.0;;;;0.0;8.0;16
2019-02-13;43;12.0;0.0;1;0;1;;;0.0;12.0;;;;16.0;4.0;12
2019-02-13;44;4.0;0.0;1;0;0;;;0.0;4.0;;;;20.0;0.0;4
2019-02-13;45;4.0;0.0;1;0;1;;;0.0;4.0;;;;0.0;8.0;4
2019-02-13;46;0.0;0.0;1;0;0;;;0.0;4.0;;;;4.0;0.0;0
2019-02-13;47;0.0;0.0;1;0;0;;;0.0;4.0;;;;4.0;0.0;0
2019-02-13;48;8.0;0.0;1;0;0;;;0.0;12.0;;;;4.0;4.0;8
2019-02-13;49;8.0;0.0;1;0;0;;;0.0;4.0;;;;12.0;0.0;8
2019-02-13;50;0.0;0.0;1;0;1;;;0.0;8.0;;;;20.0;4.0;0
2019-02-14;1;24.0;0.0;1;0;0;;;20.0;0.0;;;;20.0;12.0;24
2019-02-14;2;4.0;0.0;1;0;0;;;8.0;4.0;;;;8.0;12.0;4
2019-02-14;3;12.0;0.0;1;0;0;;;4.0;0.0;;;;4.0;4.0;12
2019-02-14;4;8.0;0.0;1;0;0;;;20.0;4.0;;;;12.0;8.0;8
2019-02-14;5;16.0;0.0;1;0;0;;;4.0;16.0;;;;0.0;16.0;16
2019-02-14;6;4.0;0.0;1;0;0;;;0.0;12.0;;;;8.0;8.0;4
2019-02-14;7;8.0;0.0;1;0;0;;;8.0;12.0;;;;12.0;4.0;8
2019-02-14;8;4.0;0.0;1;0;0;;;8.0;28.0;;;;16.0;4.0;4
2019-02-14;9;16.0;0.0;1;0;1;;;16.0;24.0;;;;20.0;8.0;16
2019-02-14;10;20.0;0.0;1;0;1;;;16.0;0.0;;;;0.0;8.0;20
2019-02-14;11;16.0;0.0;1;0;0;;;0.0;4.0;;;;12.0;0.0;16
2019-02-14;12;12.0;0.0;1;0;1;;;28.0;24.0;;;;16.0;20.0;12
2019-02-14;13;12.0;0.0;1;0;0;;;8.0;24.0;;;;4.0;16.0;12
2019-02-14;14;8.0;0.0;1;0;0;;;20.0;12.0;;;;28.0;8.0;8
2019-02-14;15;12.0;0.0;1;0;0;;;4.0;0.0;;;;0.0;4.0;12
2019-02-14;16;12.0;0.0;1;0;1;;;4.0;24.0;;;;4.0;8.0;12
2019-02-14;17;12.0;0.0;1;0;0;;;12.0;12.0;;;;28.0;36.0;12
2019-02-14;18;8.0;0.0;1;0;0;;;12.0;20.0;;;;20.0;8.0;8
2019-02-14;19;8.0;0.0;1;0;1;;;12.0;4.0;;;;0.0;8.0;8
2019-02-14;20;16.0;0.0;1;0;1;;;32.0;0.0;;;;16.0;4.0;16
2019-02-14;21;4.0;0.0;1;0;1;;;8.0;8.0;;;;16.0;4.0;4
2019-02-14;22;8.0;0.0;1;0;1;;;16.0;4.0;;;;12.0;16.0;8
2019-02-14;23;20.0;0.0;1;0;1;;;12.0;12.0;;;;28.0;4.0;20
2019-02-14;24;0.0;0.0;1;0;0;;;12.0;0.0;;;;8.0;12.0;0
2019-02-14;25;20.0;0.0;1;0;1;;;12.0;4.0;;;;12.0;4.0;20
2019-02-14;26;8.0;0.0;1;0;0;;;4.0;8.0;;;;0.0;4.0;8
2019-02-14;27;0.0;0.0;1;0;0;;;12.0;12.0;;;;12.0;0.0;0
2019-02-14;28;8.0;0.0;1;0;0;;;0.0;24.0;;;;0.0;16.0;8
2019-02-14;29;8.0;0.0;1;0;1;;;0.0;8.0;;;;4.0;12.0;8
2019-02-14;30;8.0;0.0;1;0;0;;;20.0;0.0;;;;12.0;16.0;8
2019-02-14;31;20.0;0.0;1;0;1;;;12.0;16.0;;;;12.0;4.0;20
2019-02-14;32;0.0;0.0;1;0;0;;;4.0;16.0;;;;4.0;16.0;0
2019-02-14;33;16.0;0.0;1;0;1;;;4.0;8.0;;;;4.0;8.0;16
2019-02-14;34;12.0;0.0;1;0;1;;;16.0;12.0;;;;8.0;0.0;12
2019-02-14;35;8.0;0.0;1;0;1;;;12.0;16.0;;;;16.0;12.0;8
2019-02-14;36;32.0;0.0;1;0;0;;;12.0;16.0;;;;12.0;16.0;32
2019-02-14;37;12.0;0.0;1;0;1;;;12.0;12.0;;;;4.0;4.0;12
