sku;fechaIni;fechaFin
41;20210715;20210815
23;20170613;20170713
1;20190819;20190905
49;20210311;20210407
46;20191210;20200110
24;20180108;20180303
19;20160714;20160815
43;20200511;20200611
19;20140613;20140713
30;20210603;20210630
39;20200910;20201007
46;20170613;20170713
12;20190627;20190724
43;20130406;20130613
15;20210816;20210831
33;20111125;20120111
32;20210311;20210407
22;20190819;20190905
2;20190516;20190613
16;20141122;20150112
8;20200113;20200305
11;20210901;20210922
21;20210506;20210606
33;20140714;20140813
5;20190715;20190815
10;20201210;20210113
10;20210715;20210815
34;20181008;20181108
29;20200612;20200625
40;20140423;20140612
29;20141029;20141121
17;20170420;20170520
47;20160610;20160710
12;20200716;20200812
37;20180906;20181007
24;20210923;20211020
16;20110104;20110111
16;20150113;20150312
35;20190715;20190815
35;20210816;20210831
21;20190308;20190328
8;20191108;20191208
20;20160901;20160930
42;20180108;20180306
10;20160610;20160710
5;20130312;20130405
31;20201210;20210113
45;20210614;20210714
31;20210715;20210815
41;20160401;20160430
40;20160401;20160430
31;20210311;20210407
47;20200612;20200625
47;20160112;20160306
28;20171207;20180107
17;20190715;20190815
31;20180108;20180306
1;20140322;20140422
38;20180712;20180812
38;20181112;20181212
49;20180906;20181007
39;20190329;20190425
19;20190715;20190815
1;20170905;20171004
19;20180406;20180506
4;20180906;20181007
8;20200910;20201007
11;20190906;20191006
33;20160714;20160815
33;20170110;20170306
26;20141029;20141121
33;20121122;20130111
10;20180108;20180303
3;20140828;20141028
5;20170110;20170306
34;20180108;20180306
34;20191007;20191107
31;20130920;20131121
40;20210901;20210922
47;20120410;20120612
40;20181112;20181212
43;20210614;20210714
19;20181112;20181212
46;20170110;20170306
1;20160817;20160831
19;20170714;20170814
39;20170817;20170904
26;20121122;20130111
21;20201008;20201108
32;20210506;20210606
16;20131122;20140115
35;20200724;20200824
21;20160901;20160930
21;20181008;20181108
5;20210923;20211020
6;20191210;20200110
27;20150901;20151008
3;20200724;20200824
6;20201008;20201108
10;20170110;20170306
27;20200324;20200414
5;20180906;20181007
3;20180108;20180306
23;20190516;20190613
45;20190906;20191006
29;20201112;20201209
9;20210311;20210407
31;20130312;20130405
